0 16 2 5 0
1 18 191 2 190
2 16 4 9 0
3 18 102 1 102
4 18 1 1 0
5 18 0 1 0
6 18 0 1 0
7 18 1 1 0
8 18 0 3 0
9 18 0 1 0
10 17 0 4 0
11 18 0 1 0
12 19 0 2 0
13 17 0 4 0
14 18 0 2 0
15 17 1 3 0
16 17 0 3 0
17 18 1 1 0
18 18 0 2 0
19 18 0 1 0
20 18 2 1 0
21 17 0 2 0
22 17 0 1 0
23 16 1 8 0
24 16 1 6 0
25 16 109 4 106
26 18 0 1 0
27 16 2 8 0
28 17 1 3 0
29 16 0 7 0
30 17 0 1 0
31 18 0 1 0
32 17 0 2 0
33 17 2 2 0
34 17 1 1 0
35 17 0 1 0
36 18 4 3 1
37 17 1 2 0
38 18 0 1 0
39 17 1 1 0
40 17 2 2 0
41 19 29 1 29
42 16 13 4 12
43 18 0 1 0
44 17 0 2 0
45 17 0 1 0
46 17 0 1 0
47 17 0 1 0
48 16 2 6 0
49 17 1 1 0
50 17 0 1 0
51 17 0 1 0
52 18 1 1 0
53 17 0 2 0
54 16 0 2 0
55 17 0 1 0
56 17 0 1 0
57 15 4 8 0
58 17 97 2 97
59 18 0 1 0
0 16 0 1 0
1 15 192 3 191
2 14 1 6 0
3 16 37 2 37
4 18 26 1 26
5 15 0 3 0
6 14 0 6 0
7 17 0 1 0
8 16 0 1 0
9 17 2 1 2
10 15 0 1 0
11 15 2 1 0
12 17 1 1 0
13 16 0 1 0
14 14 1 3 0
15 16 0 4 0
16 17 0 1 0
17 15 1 2 0
18 15 0 1 0
19 16 1 3 0
20 15 102 2 102
21 14 1 3 0
22 15 0 5 0
23 16 1 1 0
24 16 2 1 0
25 17 0 1 0
26 14 1 3 0
27 14 0 6 0
28 14 1 4 0
29 16 0 1 0
30 16 0 1 0
31 15 2 1 0
32 15 1 5 0
33 15 0 2 0
34 17 1 1 0
35 14 0 4 0
36 14 100 7 97
37 14 2 6 0
38 17 0 1 0
39 16 0 3 0
40 16 0 4 0
41 15 2 3 0
42 17 0 1 0
43 15 2 2 0
44 15 0 1 0
45 16 0 2 0
46 14 2 7 0
47 17 0 1 0
48 15 1 1 0
49 15 0 2 0
50 16 1 2 0
51 16 0 1 0
52 17 98 1 92
53 16 1 2 0
54 16 2 2 0
55 15 0 2 0
56 15 0 1 0
57 15 0 1 0
58 15 0 3 0
59 16 0 3 0
60 14 0 6 0
61 15 0 1 0
62 16 0 2 0
63 14 2 3 0
64 15 1 1 0
65 16 2 1 0
66 15 1 2 0
67 16 0 2 0
68 14 27 5 25
69 15 11 1 11
70 14 1 3 0
71 16 0 2 0
72 18 1 1 0
73 16 1 1 0
74 14 1 2 0
75 15 0 1 0
76 16 1 1 0
77 14 2 4 0
78 15 0 1 0
79 14 1 4 0
80 16 0 1 0
81 15 1 1 0
82 15 0 1 0
83 14 0 4 0
84 14 1 4 0
85 15 101 1 100
86 16 1 1 1
87 15 1 2 0
88 15 2 2 0
89 17 0 1 0
90 15 0 1 0
91 15 1 1 0
92 15 0 1 0
93 16 0 1 0
94 14 1 2 0
95 14 0 4 0
96 15 0 1 0
97 14 0 3 0
98 15 0 1 0
99 16 0 1 0
100 14 0 4 0
101 14 0 2 0
102 14 2 4 0
103 14 2 4 0
104 14 0 2 0
105 14 0 2 0
106 13 2 7 0
107 14 0 2 0
108 14 1 2 0
109 14 230 1 228
110 14 0 1 0
111 15 0 1 0
112 14 110 2 110
113 13 0 3 0
114 13 0 3 0
115 13 2 6 0
