#Time	Lat	Lon	Alt	Sat
10:09:54	49.37086583	15.017452	13220.5	11
10:10:10	49.36788733	15.02073367	13316.4	11
10:10:26	49.365861	15.0244425	13437.7	10
10:10:42	49.36390783	15.0280395	13523.7	10
10:10:59	49.36171867	15.03161017	13630.8	9
10:11:15	49.36016433	15.03495283	13732.8	10
10:11:31	49.358317	15.0383525	13852.7	9
10:11:47	49.357316	15.04220383	13956.4	10
10:12:03	49.35502117	15.04580083	14061.7	11
10:12:20	49.35382483	15.04877317	14184.8	9
10:12:36	49.35235183	15.05181683	14298.8	9
10:12:52	49.3515625	15.05532233	14417.9	11
10:13:08	49.35030917	15.05927533	14534.2	10
10:13:25	49.34921867	15.06221917	14662.5	11
10:13:41	49.34826667	15.0655945	14771.3	10
10:13:57	49.34680183	15.06844683	14873.7	11
10:14:13	49.345638	15.0713705	15010.9	10
10:14:29	49.34450683	15.07431033	15120.6	10
10:14:46	49.34252933	15.07699783	15265.0	10
10:15:02	49.3404215	15.07878017	15393.0	10
10:15:18	49.339266	15.080841	15499.8	10
10:15:34	49.33805333	15.08353683	15595.5	10
10:15:50	49.33656417	15.087323	15729.5	9
10:16:07	49.33538417	15.08983567	15807.1	10
10:16:23	49.33403317	15.09332683	15926.1	9
10:16:39	49.3326905	15.09741	16043.2	8
10:16:55	49.331429	15.10148717	16176.3	10
10:17:12	49.33087567	15.105546	16299.3	10
10:17:28	49.3296875	15.1078715	16438.7	10
10:17:44	49.328475	15.110264	16549.5	9
10:18:00	49.32726233	15.1122355	16676.9	9
10:18:16	49.325822	15.11423133	16797.5	9
10:18:33	49.3241455	15.115682	16913.6	10
10:18:49	49.32303867	15.11761683	17020.4	8
10:19:05	49.321582	15.12028817	17156.5	10
10:19:21	49.320459	15.12195433	17268.7	10
10:19:37	49.3191	15.122994	17390.6	9
10:19:54	49.31797683	15.124117	17521.5	9
10:20:10	49.31748867	15.124528	17599.7	8
10:20:26	49.31711433	15.12425533	17513.7	8
10:20:42	49.31661783	15.12626133	17659.5	7
10:20:59	49.3163005	15.12919717	17840.2	5
10:21:15	49.315267	15.130957	18075.2	7
10:21:31	49.31416833	15.1326925	18258.5	9
10:21:47	49.31340333	15.13432617	18390.0	9
10:22:03	49.31258133	15.13674717	18505.2	10
10:22:20	49.31097	15.13934117	18631.9	8
10:22:36	49.30916333	15.14209183	18748.0	10
10:22:52	49.30712083	15.14405517	18874.2	9
10:23:08	49.30572917	15.144926	19011.7	9
10:23:24	49.30526533	15.14539183	18991.0	7
10:23:41	49.304183	15.14473067	19207.6	8
10:23:57	49.30410967	15.14435417	19368.0	6
10:24:13	49.30380867	15.1443055	19517.1	8
10:24:29	49.30343417	15.14556483	19645.9	10
10:24:46	49.3029215	15.14683233	19784.8	8
10:25:02	49.30190433	15.14822183	19884.9	8
10:25:18	49.3007405	15.14870817	19992.3	8
10:25:34	49.29986167	15.14927167	20088.9	8
10:25:50	49.29862467	15.1492045	20229.0	9
10:26:07	49.29772133	15.149231	20352.7	8
10:26:23	49.29726567	15.14909867	20452.6	8
10:26:39	49.2970785	15.1494995	20580.9	7
