_sentence,_receivers,time,latitude,longitude,altitude,temperature_internal,battery
"$$LetFik3,08:15:54,49.7152805328,14.0930771828,445,17.342827,10.1471592041*4FA1",LetFik3,08:15:54,49.7152805328,14.0930771828,445.0,17.342827,10.1471592041
"$$LetFik3,08:18:22,49.7153019905,14.0930342674,438,14.428738,10.1700440918*6EB9",LetFik3,08:18:22,49.7153019905,14.0930342674,438.0,14.428738,10.1700440918
"$$LetFik3,08:20:55,49.7153234482,14.0929269791,448,18.199912,10.138005249*39A0",LetFik3,08:20:55,49.7153234482,14.0929269791,448.0,18.199912,10.138005249
"$$LetFik3,08:23:21,49.7153019905,14.0928840637,457,17.685661,10.1471592041*578A",LetFik3,08:23:21,49.7153019905,14.0928840637,457.0,17.685661,10.1471592041
"$$LetFik3,08:25:52,49.7154521942,14.0928840637,474,14.771572,10.1608901367*D8F0",LetFik3,08:25:52,49.7154521942,14.0928840637,474.0,14.771572,10.1608901367
"$$LetFik3,08:28:22,49.7153449059,14.0928840637,455,15.628657,10.2020829346*8930",LetFik3,08:28:22,49.7153449059,14.0928840637,455.0,15.628657,10.2020829346
"$$LetFik3,08:30:52,49.7153019905,14.0928840637,451,15.45724,10.1608901367*257C",LetFik3,08:30:52,49.7153019905,14.0928840637,451.0,15.45724,10.1608901367
"$$LetFik3,08:33:21,49.7155165672,14.0930771828,489,15.628657,10.197505957*3143",LetFik3,08:33:21,49.7155165672,14.0930771828,489.0,15.628657,10.197505957
"$$LetFik3,08:35:52,49.7153449059,14.0930557251,473,15.285823,10.1563131592*B01E",LetFik3,08:35:52,49.7153449059,14.0930557251,473.0,15.285823,10.1563131592
"$$LetFik3,08:38:22,49.7152590752,14.0930128098,455,16.314325,7.89528625488*2736",LetFik3,08:38:22,49.7152590752,14.0930128098,455.0,16.314325,7.89528625488
"$$LetFik3,08:40:51,49.7153449059,14.0929269791,461,14.942989,10.138005249*24F8",LetFik3,08:40:51,49.7153449059,14.0929269791,461.0,14.942989,10.138005249
"$$LetFik3,08:43:22,49.7153878212,14.0930557251,476,16.485742,10.2112368896*B510",LetFik3,08:43:22,49.7153878212,14.0930557251,476.0,16.485742,10.2112368896
"$$LetFik3,08:45:52,49.7155165672,14.0930771828,459,16.657159,10.138005249*3405",LetFik3,08:45:52,49.7155165672,14.0930771828,459.0,16.657159,10.138005249
"$$LetFik3,08:48:22,49.7160744667,14.0932273865,466,16.657159,9.8542326416*5A31",LetFik3,08:48:22,49.7160744667,14.0932273865,466.0,16.657159,9.8542326416
"$$LetFik3,08:50:51,49.7115039825,14.0935063362,966,15.800074,10.1288512939*0403",LetFik3,08:50:51,49.7115039825,14.0935063362,966.0,15.800074,10.1288512939
"$$LetFik3,08:53:21,49.7050881386,14.0876483917,1501,19.399831,10.1700440918*0606",LetFik3,08:53:21,49.7050881386,14.0876483917,1501.0,19.399831,10.1700440918
"$$LetFik3,08:55:51,49.7023844719,14.0912747383,2075,16.314325,10.1288512939*6C2B",LetFik3,08:55:51,49.7023844719,14.0912747383,2075.0,16.314325,10.1288512939
"$$LetFik3,08:58:22,49.7059464455,14.0995788574,2691,16.485742,9.84965566406*3B38",LetFik3,08:58:22,49.7059464455,14.0995788574,2691.0,16.485742,9.84965566406
"$$LetFik3,09:00:51,49.708199501,14.1210579872,3317,19.056997,10.1700440918*740D",LetFik3,09:00:51,49.708199501,14.1210579872,3317.0,19.056997,10.1700440918
"$$LetFik3,09:03:21,49.7145080566,14.1483950615,3974,18.714163,10.1837750244*D3AE",LetFik3,09:03:21,49.7145080566,14.1483950615,3974.0,18.714163,10.1837750244
"$$LetFik3,09:05:51,49.719979763,14.1780281067,4681,17.685661,10.197505957*B2F4",LetFik3,09:05:51,49.719979763,14.1780281067,4681.0,17.685661,10.197505957
"$$LetFik3,09:08:21,49.7291207314,14.2093348503,5394,17.17141,10.1059664062*3BEB",LetFik3,09:08:21,49.7291207314,14.2093348503,5394.0,17.17141,10.1059664062
"$$LetFik3,09:10:51,49.7407078743,14.246070385,6106,18.028495,10.1425822266*A34C",LetFik3,09:10:51,49.7407078743,14.246070385,6106.0,18.028495,10.1425822266
"$$LetFik3,09:13:21,49.7476601601,14.2893719673,6792,15.114406,10.1288512939*EAC0",LetFik3,09:13:21,49.7476601601,14.2893719673,6792.0,15.114406,10.1288512939
"$$LetFik3,09:15:51,49.7576379776,14.3396902084,7481,17.342827,10.1151203613*9BF3",LetFik3,09:15:51,49.7576379776,14.3396902084,7481.0,17.342827,10.1151203613
"$$LetFik3,09:18:21,49.7645688057,14.3923044205,8089,15.114406,10.0281577881*DF0F",LetFik3,09:18:21,49.7645688057,14.3923044205,8089.0,15.114406,10.0281577881
"$$LetFik3,09:20:51,49.7772502899,14.4616985321,8722,15.800074,10.0876584961*6FD9",LetFik3,09:20:51,49.7772502899,14.4616985321,8722.0,15.800074,10.0876584961
"$$LetFik3,09:23:21,49.7942018509,14.547829628,9323,11.343232,10.1059664062*D986",LetFik3,09:23:21,49.7942018509,14.547829628,9323.0,11.343232,10.1059664062
"$$LetFik3,09:25:51,49.8080205917,14.6299910545,9883,11.857483,10.0922354736*2434",LetFik3,09:25:51,49.8080205917,14.6299910545,9883.0,11.857483,10.0922354736
"$$LetFik3,09:28:21,49.8230409622,14.7008657455,10516,11.514649,10.0281577881*13AF",LetFik3,09:28:21,49.8230409622,14.7008657455,10516.0,11.514649,10.0281577881
"$$LetFik3,09:30:52,49.8317956924,14.7563552856,11151,9.800479,10.0327347656*D3B2",LetFik3,09:30:52,49.8317956924,14.7563552856,11151.0,9.800479,10.0327347656
"$$LetFik3,09:33:21,49.8358297348,14.8016953468,11806,10.486147,10.0693505859*5D99",LetFik3,09:33:21,49.8358297348,14.8016953468,11806.0,10.486147,10.0693505859
"$$LetFik3,09:35:52,49.8352503777,14.8458552361,12394,8.60056,10.0876584961*A25A",LetFik3,09:35:52,49.8352503777,14.8458552361,12394.0,8.60056,10.0876584961
"$$LetFik3,09:38:21,49.8330402374,14.8917746544,12993,7.229224,9.95034916992*AAB2",LetFik3,09:38:21,49.8330402374,14.8917746544,12993.0,7.229224,9.95034916992
"$$LetFik3,09:40:51,49.8293280602,14.9352693558,13489,8.086309,10.0373117432*040A",LetFik3,09:40:51,49.8293280602,14.9352693558,13489.0,8.086309,10.0373117432
